标题,日期,链接,内容,来源
"2025年全省文化和旅游市场综合执法能力...(
                                10-30)",2025-10-03,http://wlt.shanxi.gov.cn/xwzx/wlyw/202510/t20251030_9985452.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅要闻
2025年全省文化和旅游市场综合执法能力提升培训班
在汾阳召开
时间：2025-10-30 11:19:47
来源：厅文化和旅游市场综合执法监督局
作者：
|
字体：
放大
正常
缩小
为主动适应新时代综合行政执法工作新形势、新要求，切实提升执法人员法治素养与业务能力，规范执法行为、提高执法效能，省文旅厅10月20日至10月24日在吕梁市汾阳市贾家庄召开2025年全省文化和旅游市场综合执法能力提升培训班，全省各地市共计73名一线执法骨干参加。
本次培训班围绕执法工作中的“痛点”“难点”展开，聚焦于营业性演出监管要点、版权市场执法、文物市场执法、未成年人保护",山西省文化和旅游厅
"林红玉检查调度国庆中秋假期文旅工作(
                                10-09)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/wlyw/202510/t20251009_9971893.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅要闻
林红玉检查调度国庆中秋假期文旅工作
时间：2025-10-09 09:25:03
来源：山西日报
作者：
|
字体：
放大
正常
缩小
10月2日，副省长林红玉在省文旅厅检查调度国庆、中秋假期文旅工作，看望慰问值班值守人员。
林红玉通过全省文旅综合监测平台，视频连线晋祠、云冈石窟、应县木塔、五台山、吕梁贾家庄、平遥古城、藏山、八泉峡、壶口瀑布、皇城相府、关公故里等景区，详细了解客流情况及值班值守工作，代表省政府向坚守岗位的文旅工作者表示慰问。他指出，全省旅游市场火热，各地各有关部门要坚持以游客为中心，做好景区客流监测和运行调度，以优质服务迎接八方游客。要高",山西省文化和旅游厅
"刘冲督导调研国庆中秋文旅假日市场工作(
                                10-06)",2025-10-03,http://wlt.shanxi.gov.cn/xwzx/wlyw/202510/t20251006_9971332.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅要闻
刘冲督导调研国庆中秋文旅假日市场工作
时间：2025-10-06 07:43:20
来源：
作者：
|
字体：
放大
正常
缩小
10月
3
日
至
5日
，
省文旅厅党组书记刘冲赴晋中、临汾、运城等地
督导调研
国庆中秋文旅假日
市场工作。
刘冲
先后
深入文博场馆、旅游景区、文化企业等场所
，
采取实地走访、现场查看等方式，详细了解各地在节日期间强化行业
监管
、丰富
产品供给、提升服务质量
等方面开展的工作，仔细询问文旅场所
在游客接待、客流疏导、交通保畅及秩序维护等方面采取的措施，
对多部门联合
开展
涉旅道路交通、火灾防范、食品安全
等
方面的
",山西省文化和旅游厅
"全省文化旅游国庆中秋假期安全生产和假...(
                                09-28)",2025-10,http://wlt.shanxi.gov.cn/xwzx/wlyw/202509/t20250928_9968350.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅要闻
全省文化旅游国庆中秋假期安全生产和假日市场工作视频会议召开
时间：2025-09-28 17:16:32
来源：厅市场管理处
作者：
|
字体：
放大
正常
缩小
9月26日，全省文化旅游国庆中秋假期安全生产和假日市场工作视频会议召开。
会议深入
贯彻落实习近平总书记考察山西重要讲话重要指示精神，落实文化和旅游部、省委省政府工作部署，
对全省文化旅游国庆中秋假期安全生产和假日市场工作再强调、再部署、再落实。省文旅厅厅长王爱琴出席会议并讲话。
会议强调，各级文旅部门要牢固树立安全发展理念，压紧压实工作责任，加强对文旅市场综合治理工作的统筹协调，健全完善工作机",山西省文化和旅游厅
"山西省多家景区执行淡季门票政策(
                                    10-30)",2025-10-03,http://wlt.shanxi.gov.cn/xwzx/wlxx/202510/t20251030_9985195.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅信息
山西省多家景区执行淡季门票政策
首道门票价格及景区运营时间有调整，请合理安排参观时间
时间：2025-10-30 08:55:39
来源：山西晚报
作者：
|
字体：
放大
正常
缩小
天气转冷，为保障景区运营安全，提高景区运营效率，山西多家景区陆续开始执行淡季门票政策：首道门票价格及景区运营时间进行调整。
王家大院景区于
10月28日起，营业时间变更为8：00－17：30（17：00停止售票）。景区停止售票和闭园时间，均比旺季提前半个小时，但票价从11月1日开始调整，执行淡季门票价格，为30元／人次。
10月27日，雁门关景区发布公告称：将于11月1日至",山西省文化和旅游厅
"太行一号旅游公路：在红叶云海间...(
                                    10-29)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/wlxx/202510/t20251029_9984295.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅信息
太行一号旅游公路：在红叶云海间，驶入秋日的山水长卷
时间：2025-10-29 08:54:23
来源：山西日报
作者：
|
字体：
放大
正常
缩小
十月的太行山，是大自然执笔的油画长卷。当太行一号旅游公路在这片斑斓中蜿蜒舒展，便成了我们探寻秋日秘境的金色线索——从空中俯瞰，公路如银蛇穿梭于红海般的枫林、翡翠似的松柏与金黄的桦树之间，带我们驶入一场关于色彩与山水的视觉盛宴。
太行一号旅游公路的秋日，是被红叶点燃的“流动风景线”。从晋城到长治，时而钻进峡谷，时而跃上云海。从阳泉到晋中，沿途的黄栌、栎树、桦树在秋阳下绽放出浓烈色彩。太原西山上的红叶如宝石般绚",山西省文化和旅游厅
"平遥古城等4家山西景区上榜(
                                    10-28)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/wlxx/202510/t20251028_9983568.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅信息
迈点研究院发布的9月份5A景区百强榜单显示
平遥古城等4家山西景区上榜
时间：2025-10-28 08:39:59
来源：山西经济日报
作者：
|
字体：
放大
正常
缩小
近日，迈点研究院独家发布
“2025年9月5A级景区品牌传播力100强榜单”，我省4家景区榜上有名，分别为：平遥古城景区、云冈石窟、皇城相府生态文化旅游区和洪洞大槐树寻根祭祖园景区。其中，平遥古城景区和云冈石窟再次位列百强榜前十。
“2025年9月5A级景区品牌传播力100强榜单”数据来源于迈点品牌指数MBI，根据9月迈点品牌指数MBI的359个5A景区数据汇总统计而成，旨在通过数据",山西省文化和旅游厅
"全国大学生红色旅游创意策划大赛...(
                                    10-27)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/wlxx/202510/t20251027_9982692.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅信息
以“铸就红色理想 书写创意青春”为主题
全国大学生红色旅游创意策划大赛总决赛收官
时间：2025-10-27 08:56:04
来源：山西经济日报
作者：
|
字体：
放大
正常
缩小
近日，第十五届全国大学生红色旅游创意策划大赛全国总决赛在武乡县收官。本届大赛共吸引全国
1001所高校的6002支队伍、逾3万名师生参与，征集作品5144项。经过激烈角逐，60支团队晋级总决赛。其中，中国传媒大学、东北财经大学、重庆师范大学、中南林业科技大学、桂林理工大学、重庆财经学院6支队伍获特等奖，北京第二外国语学院等18支队伍获一等奖，太原理工大学等31支队伍获二等奖",山西省文化和旅游厅
"全省文化和旅游系统安全管理培训...(
                                    10-24)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/wlxx/202510/t20251024_9982042.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
文旅信息
全省文化和旅游系统安全管理培训与应急演练活动成功举办
时间：2025-10-24 17:04:27
来源：厅市场管理处
作者：
|
字体：
放大
正常
缩小
为深入贯彻落实习近平总书记关于安全生产重要论述和重要指示批示精神，全面提升从业人员安全意识、应急管理和风险应对处置能力，保障全省文旅行业领域安全发展。
10月21日至24日
，省文旅厅在
运城
市组织开展
了
全省文化和旅游
系统
安全
管理
培训与应急演练活动。
此次培训邀请我省安全生产、管理方面的专家，分别从安全法律法规、事故预防与安全监管、消防安全与管理等方面进行专题授课。应急演练活动针对景区木",山西省文化和旅游厅
"应县持续推动文旅康养产业融合发展(
                                    10-30)",2025-10-03,http://wlt.shanxi.gov.cn/xwzx/sxdt/202510/t20251030_9985205.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
市县动态
应县持续推动文旅康养产业融合发展
时间：2025-10-30 09:00:26
来源：朔州日报
作者：
|
字体：
放大
正常
缩小
近年来，朔州市应县坚持以文塑旅、以旅彰文，结合美丽乡村建设、休闲农业、乡村振兴等要素，大力发展以农耕文化为魂、田园风光为韵、村落民宅为形、生态农业为本的优质乡村旅游，实现农业与文化、旅游、康养等产业深度融合。
科学谋篇布局，明确康养产业定位。下马峪乡立足
“红古绿白”四色资源禀赋，结合“五条旅游线路”全域规划，因地制宜开发文旅康养产业，形成集旅游服务中心，长城一号旅游公路农旅休闲带和南山康养旅游观光带，历史文化区、生态农业区",山西省文化和旅游厅
"太原入选“中国国际旅游影响力跃升15城”(
                                    10-29)",2025-10-02,http://wlt.shanxi.gov.cn/xwzx/sxdt/202510/t20251029_9984352.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
市县动态
太原入选“中国国际旅游影响力跃升15城”
时间：2025-10-29 09:07:36
来源：太原日报
作者：
|
字体：
放大
正常
缩小
近
日，
2025郑州国际旅游城市市长论坛在郑州开幕。其间，《中国国际旅游影响力跃升15城》报告发布，太原等城市名列其中。
中国旅游研究院发布的
“中国国际旅游影响力跃升15城”包括重庆、杭州、宁波、大连、济南、合肥、郑州、太原、沈阳、石家庄、呼和浩特、乌鲁木齐、银川、兰州、温州。课题组从国际游客的“行前—行中—行后”全旅程视角构建评估体系，对中国60个样本城市吸引国际游客到访的综合能力进行评估。此次发布的“跃升15",山西省文化和旅游厅
"山西省文化和旅游厅组织青年干部参加 ...(
                                    07-09)",2025-10,http://wlt.shanxi.gov.cn/xwzx/ztgz/djzl_8172/202507/t20250709_9911490.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
专题工作
>
党建专栏
深化生态环保实践   厚植生态文明担当
山西省文化和旅游厅组织青年干部参加
“绿色青春 共护黄河”志愿行实践教育活动
时间：2025-07-09 10:59:43
来源：厅机关党委
作者：
|
字体：
放大
正常
缩小
“推动山西沿黄地区在保护中开发、开发中保护”“让一泓清水入黄河”是习近平总书记对山西的殷殷嘱托。为深刻把握习近平生态文明思想核心要义，勇担“保护母亲河”使命，近期，我厅组织10余名青年干部赴永济市黄河河畔参加“绿色青春　共护黄河”志愿行实践教育活动。
活动中，实地学习了《黄河文化是中华民族的根和魂》《以高质量发展与高水平保护赋",山西省文化和旅游厅
"山西省文化和旅游厅活力亮相 省直机关...(
                                    07-09)",2025-10,http://wlt.shanxi.gov.cn/xwzx/ztgz/djzl_8172/202507/t20250709_9910981.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
专题工作
>
党建专栏
山西省文化和旅游厅活力亮相省直机关第二届
“全民健身进机关”系列活动
时间：2025-07-09 10:58:11
来源：厅机关党委
作者：
|
字体：
放大
正常
缩小
6月28日，伴随着夏日的蓬勃朝气，以“奋进新征程，运动促健康”为主题的山西省直机关干部职工第二届“全民健身进机关”系列活动在太原晋阳湖公园拉开帷幕。省文化和旅游厅机关工会积极组织干部职工参加活动。
在健步走活动中，文旅队伍精神抖擞地从庆典广场出发，沿着5公里环湖步道健步前行。大家步伐整齐，行进中相互交流感悟、分享趣事，展现出团结协作的良好氛围。在定向越野赛环节，参赛队伍争分",山西省文化和旅游厅
"山西省文化和旅游厅召开 深入贯彻中央...(
                                    04-29)",2025-10,http://wlt.shanxi.gov.cn/xwzx/ztgz/djzl_8172/202504/t20250429_9822772.shtml,"无障碍浏览
切换到
繁体
机构设置
领导信息
机构职能
内设机构
派驻机构
厅属单位
新闻中心
文旅要闻
文旅信息
通知公告
市县动态
图片新闻
视频新闻
专题工作
政务公开
信息公开
法治建设
政策解读
财务工作
人事工作
公共服务
在线办事
双公示
公示查询
网上办事大厅
游戏游艺设备公示
互动交流
公众问答
意见征集
投诉建议
领导信箱
您现在将离开本网站跳转至
， 点击确定跳转。
确定
取消
首页
>
新闻中心
>
专题工作
>
党建专栏
山西省文化和旅游厅召开 深入贯彻中央八项规定精神学习教育 年轻干部学习交流会
时间：2025-04-29 09:55:01
来源：厅机关党委
作者：
|
字体：
放大
正常
缩小
按照中央、省委关于深入贯彻中央八项规定精神学习教育部署要求，
4月27日，山西省文化和旅游厅召开深入贯彻中央八项规定精神学习教育年轻干部学习交流会
。
认真学习
领会了
习近平总书记关于加强党的作风建设的重要论述、中央八项规定及其实施细则精神，
传达学习了省委学习教育工作专班有关部署要求，通报了违反中央八项规定及其实施细则精神典型案例并
开展
廉政谈话
。
厅党组成",山西省文化和旅游厅
